timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655465385414,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-173,text,false,,2328,0,173,310,http://localhost/register,0,0,0
1655465385414,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-173,text,false,,2328,0,173,310,http://localhost/login,0,0,1
1655465385415,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-173,text,false,,2628,0,173,309,http://localhost/openStore,0,0,1
1655465385416,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-172,text,false,,2328,0,174,310,http://localhost/register,0,0,1
1655465385416,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-173,text,false,,2628,0,174,310,http://localhost/logout,0,0,1
1655465385417,0,Debug Sampler,200,OK,Workers 1-173,text,true,,443,0,174,310,null,0,0,0
1655465385417,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-172,text,false,,2328,0,173,309,http://localhost/login,0,0,0
1655465385417,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-174,text,false,,2328,0,173,310,http://localhost/register,0,0,1
1655465385417,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-172,text,false,,2628,0,173,310,http://localhost/openStore,0,0,1
1655465385418,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-174,text,false,,2328,0,173,311,http://localhost/login,0,0,1
