timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.65531E+12,230,Login,200,OK,Workers 1-98,text,TRUE,,3195,835,176,292,http://localhost/login,230,0,1,,,,
1.65531E+12,146,Login,200,OK,Workers 1-138,text,TRUE,,3195,811,186,313,http://localhost/login,146,0,0,,,,
1.65531E+12,192,Login,200,OK,Workers 1-124,text,TRUE,,3195,836,189,318,http://localhost/login,192,0,1,,,,
1.65531E+12,305,Login,200,OK,Workers 1-91,text,TRUE,,3194,825,193,326,http://localhost/login,305,0,1,,,,
1.65531E+12,243,Login,200,OK,Workers 1-120,text,TRUE,,3195,811,201,339,http://localhost/login,243,0,1,,,,
1.65531E+12,437,Login,200,OK,Workers 1-74,text,TRUE,,3193,795,219,357,http://localhost/login,437,0,0,,,,
1.65531E+12,304,Login,200,OK,Workers 1-121,text,TRUE,,3195,806,222,365,http://localhost/login,304,0,0,,,,
1.65531E+12,483,Login,200,OK,Workers 1-65,text,TRUE,,3193,795,225,370,http://localhost/login,483,0,1,,,,
1.65531E+12,310,Login,200,OK,Workers 1-123,text,TRUE,,3196,831,226,372,http://localhost/login,310,0,1,,,,
1.65531E+12,305,Login,200,OK,Workers 1-129,text,TRUE,,3195,791,230,379,http://localhost/login,305,0,1,,,,
1.65531E+12,281,Login,200,OK,Workers 1-139,text,TRUE,,3194,806,233,383,http://localhost/login,281,0,0,,,,
1.65531E+12,397,Login,200,OK,Workers 1-102,text,TRUE,,3194,806,235,388,http://localhost/login,397,0,1,,,,
1.65531E+12,505,Login,200,OK,Workers 1-68,text,TRUE,,3193,835,235,388,http://localhost/login,505,0,0,,,,
1.65531E+12,416,Login,200,OK,Workers 1-96,text,TRUE,,3194,825,235,388,http://localhost/login,416,0,1,,,,
1.65531E+12,395,Login,200,OK,Workers 1-104,text,TRUE,,3195,796,236,390,http://localhost/login,395,0,1,,,,
