timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.65546E+12,19,Login,200,OK,Workers 1-12,text,TRUE,,2569,795,14,17,http://localhost/login,19,0,2,,,,,,
1.65546E+12,6,Login,200,OK,Workers 1-25,text,TRUE,,2570,835,26,26,http://localhost/login,6,0,1,,,,,,
1.65546E+12,7,Login,200,OK,Workers 1-26,text,TRUE,,2571,825,26,26,http://localhost/login,7,0,1,,,,,,
1.65546E+12,205,Login,200,OK,Workers 1-7,text,TRUE,,3194,824,35,36,http://localhost/login,205,0,1,,,,,,5305.030667
1.65546E+12,448,Login,200,OK,Workers 1-3,text,TRUE,,3193,804,64,64,http://localhost/login,448,0,0,,,,,,
1.65546E+12,373,Login,200,OK,Workers 1-42,text,TRUE,,3195,800,95,95,http://localhost/login,373,0,0,,,,,,
1.65546E+12,701,Login,200,OK,Workers 1-4,text,TRUE,,3194,799,103,104,http://localhost/login,701,0,1,,,,,,
1.65546E+12,751,Login,200,OK,Workers 1-5,text,TRUE,,3193,819,110,111,http://localhost/login,751,0,2,,,,,,
1.65546E+12,724,Login,200,OK,Workers 1-39,text,TRUE,,3196,810,142,144,http://localhost/login,724,0,0,,,,,,
1.65546E+12,1043,Login,200,OK,Workers 1-6,text,TRUE,,3193,829,150,150,http://localhost/login,1043,0,1,,,,,,
1.65546E+12,1012,Login,200,OK,Workers 1-31,text,TRUE,,3194,790,150,150,http://localhost/login,1012,0,2,,,,,,
1.65546E+12,1057,Login,200,OK,Workers 1-30,text,TRUE,,3194,825,150,150,http://localhost/login,1057,0,0,,,,,,
1.65546E+12,1100,Login,200,OK,Workers 1-29,text,TRUE,,3196,795,150,150,http://localhost/login,1100,0,0,,,,,,
1.65546E+12,1147,Login,200,OK,Workers 1-28,text,TRUE,,3195,825,150,150,http://localhost/login,1146,0,1,,,,,,
1.65546E+12,1189,Login,200,OK,Workers 1-27,text,TRUE,,3195,810,150,150,http://localhost/login,1189,0,1,,,,,,
1.65546E+12,1230,addProductToCart,200,OK,Workers 1-26,text,TRUE,,3232,816,150,150,http://localhost/addToCart,1230,0,0,,,,,,
1.65546E+12,1280,addProductToCart,200,OK,Workers 1-25,text,TRUE,,3232,801,150,150,http://localhost/addToCart,1280,0,1,,,,,,
1.65546E+12,1428,Login,200,OK,Workers 1-8,text,TRUE,,3193,809,150,150,http://localhost/login,1428,0,1,,,,,,
1.65546E+12,1355,Login,200,OK,Workers 1-24,text,TRUE,,3196,815,150,150,http://localhost/login,1355,0,1,,,,,,
1.65546E+12,1398,Login,200,OK,Workers 1-23,text,TRUE,,3195,785,150,150,http://localhost/login,1398,0,0,,,,,,
1.65546E+12,1508,Login,200,OK,Workers 1-19,text,TRUE,,3194,815,150,150,http://localhost/login,1508,0,1,,,,,,
1.65546E+12,1559,Login,200,OK,Workers 1-17,text,TRUE,,3196,785,150,150,http://localhost/login,1559,0,1,,,,,,
1.65546E+12,1604,Login,200,OK,Workers 1-16,text,TRUE,,3196,820,150,150,http://localhost/login,1604,0,1,,,,,,
1.65546E+12,1678,Login,200,OK,Workers 1-9,text,TRUE,,3194,799,150,150,http://localhost/login,1678,0,2,,,,,,
1.65546E+12,1702,Login,200,OK,Workers 1-15,text,TRUE,,3196,790,150,150,http://localhost/login,1702,0,0,,,,,,
1.65546E+12,1747,addProductToCart,200,OK,Workers 1-12,text,TRUE,,3233,801,150,150,http://localhost/addToCart,1746,0,2,,,,,,
1.65546E+12,1795,Login,200,OK,Workers 1-13,text,TRUE,,3193,815,150,150,http://localhost/login,1795,0,0,,,,,,
1.65546E+12,1849,Login,200,OK,Workers 1-11,text,TRUE,,3196,810,150,150,http://localhost/login,1849,0,1,,,,,,
1.65546E+12,1967,Login,200,OK,Workers 1-1,text,TRUE,,3194,829,150,150,http://localhost/login,1967,0,1,,,,,,
1.65546E+12,1930,Login,200,OK,Workers 1-10,text,TRUE,,3193,834,150,150,http://localhost/login,1930,0,1,,,,,,
1.65546E+12,124,addProductToCart,200,OK,Workers 1-11,text,TRUE,,3231,796,150,150,http://localhost/addToCart,124,0,1,,,,,,
1.65546E+12,308,addProductToCart,200,OK,Workers 1-15,text,TRUE,,3233,816,150,150,http://localhost/addToCart,308,0,0,,,,,,
1.65546E+12,2013,Login,200,OK,Workers 1-18,text,TRUE,,3195,825,150,150,http://localhost/login,2013,0,1,,,,,,
1.65546E+12,2063,Login,200,OK,Workers 1-14,text,TRUE,,3196,810,150,150,http://localhost/login,2063,0,1,,,,,,
1.65546E+12,505,addProductToCart,200,OK,Workers 1-16,text,TRUE,,3231,836,150,150,http://localhost/addToCart,505,0,1,,,,,,
1.65546E+12,584,addProductToCart,200,OK,Workers 1-17,text,TRUE,,3231,841,150,150,http://localhost/addToCart,584,0,1,,,,,,
1.65546E+12,666,addProductToCart,200,OK,Workers 1-19,text,TRUE,,3232,811,150,150,http://localhost/addToCart,666,0,1,,,,,,
1.65546E+12,2193,Login,200,OK,Workers 1-20,text,TRUE,,3196,790,150,150,http://localhost/login,2193,0,1,,,,,,
1.65546E+12,2209,Login,200,OK,Workers 1-21,text,TRUE,,3194,815,150,150,http://localhost/login,2209,0,0,,,,,,
1.65546E+12,2229,Login,200,OK,Workers 1-22,text,TRUE,,3195,800,150,150,http://localhost/login,2229,0,0,,,,,,
1.65546E+12,929,addProductToCart,200,OK,Workers 1-24,text,TRUE,,3232,806,150,150,http://localhost/addToCart,929,0,0,,,,,,
1.65546E+12,1012,addProductToCart,200,OK,Workers 1-8,text,TRUE,,3232,845,150,150,http://localhost/addToCart,1012,0,1,,,,,,
1.65546E+12,1215,addProductToCart,200,OK,Workers 1-28,text,TRUE,,3231,816,150,150,http://localhost/addToCart,1215,0,0,,,,,,
1.65546E+12,1300,addProductToCart,200,OK,Workers 1-29,text,TRUE,,3233,841,150,150,http://localhost/addToCart,1300,0,1,,,,,,
1.65546E+12,1440,addProductToCart,200,OK,Workers 1-31,text,TRUE,,3232,841,150,150,http://localhost/addToCart,1440,0,0,,,,,,
1.65546E+12,2467,Login,200,OK,Workers 1-32,text,TRUE,,3195,795,150,150,http://localhost/login,2467,0,1,,,,,,
1.65546E+12,2483,Login,200,OK,Workers 1-33,text,TRUE,,3194,820,150,150,http://localhost/login,2483,0,0,,,,,,
1.65546E+12,2489,Login,200,OK,Workers 1-34,text,TRUE,,3196,825,150,150,http://localhost/login,2489,0,0,,,,,,
1.65546E+12,2501,Login,200,OK,Workers 1-36,text,TRUE,,3196,820,150,150,http://localhost/login,2501,0,1,,,,,,
1.65546E+12,2528,addProductToCart,200,OK,Workers 1-7,text,TRUE,,3232,805,150,150,http://localhost/addToCart,2528,0,1,,,,,,
1.65546E+12,2555,Login,200,OK,Workers 1-37,text,TRUE,,3194,810,150,150,http://localhost/login,2555,0,1,,,,,,
1.65546E+12,2598,Login,200,OK,Workers 1-35,text,TRUE,,3196,820,150,150,http://localhost/login,2598,0,1,,,,,,
1.65546E+12,2656,Login,200,OK,Workers 1-40,text,TRUE,,3194,800,150,150,http://localhost/login,2656,0,0,,,,,,
1.65546E+12,1945,Login,200,OK,Workers 1-142,text,TRUE,,3196,796,150,150,http://localhost/login,1945,0,1,,,,,,
1.65546E+12,2749,Login,200,OK,Workers 1-38,text,TRUE,,3195,795,150,150,http://localhost/login,2749,0,0,,,,,,
1.65546E+12,2120,Login,200,OK,Workers 1-143,text,TRUE,,3195,821,150,150,http://localhost/login,2120,0,1,,,,,,
1.65546E+12,2197,Login,200,OK,Workers 1-134,text,TRUE,,3195,821,150,150,http://localhost/login,2196,0,1,,,,,,
1.65546E+12,1110,Purchase Items,200,OK,Workers 1-15,text,TRUE,,3609,1987,150,150,http://localhost/purchaseCart,1110,0,1,,,,,,
1.65546E+12,2241,Login,200,OK,Workers 1-140,text,TRUE,,3197,826,150,150,http://localhost/login,2241,0,1,,,,,,
1.65546E+12,2314,Login,200,OK,Workers 1-137,text,TRUE,,3196,801,150,150,http://localhost/login,2314,0,1,,,,,,
1.65546E+12,2372,Login,200,OK,Workers 1-136,text,TRUE,,3195,821,150,150,http://localhost/login,2372,0,0,,,,,,
1.65546E+12,2447,Login,200,OK,Workers 1-132,text,TRUE,,3196,786,150,150,http://localhost/login,2447,0,0,,,,,,
1.65546E+12,2485,Login,200,OK,Workers 1-133,text,TRUE,,3196,816,150,150,http://localhost/login,2485,0,0,,,,,,
1.65546E+12,2582,Login,200,OK,Workers 1-129,text,TRUE,,3195,786,150,150,http://localhost/login,2582,0,1,,,,,,
1.65546E+12,2685,Login,200,OK,Workers 1-126,text,TRUE,,3195,816,150,150,http://localhost/login,2684,0,0,,,,,,
1.65546E+12,2737,Login,200,OK,Workers 1-124,text,TRUE,,3195,821,150,150,http://localhost/login,2737,0,1,,,,,,
1.65546E+12,2801,Login,200,OK,Workers 1-122,text,TRUE,,3196,816,150,150,http://localhost/login,2801,0,0,,,,,,
1.65546E+12,2927,Login,200,OK,Workers 1-117,text,TRUE,,3196,831,150,150,http://localhost/login,2927,0,1,,,,,,
1.65546E+12,2966,Login,200,OK,Workers 1-114,text,TRUE,,3197,811,150,150,http://localhost/login,2966,0,1,,,,,,
1.65546E+12,3031,Login,200,OK,Workers 1-115,text,TRUE,,3196,801,150,150,http://localhost/login,3031,0,1,,,,,,
1.65546E+12,3582,Login,200,OK,Workers 1-41,text,TRUE,,3195,815,150,150,http://localhost/login,3581,0,0,,,,,,
1.65546E+12,3117,Login,200,OK,Workers 1-111,text,TRUE,,3195,796,150,150,http://localhost/login,3117,0,1,,,,,,
1.65546E+12,3190,Login,200,OK,Workers 1-110,text,TRUE,,3196,786,150,150,http://localhost/login,3190,0,1,,,,,,
1.65546E+12,3268,Login,200,OK,Workers 1-109,text,TRUE,,3197,826,150,150,http://localhost/login,3268,0,0,,,,,,
1.65546E+12,3354,Login,200,OK,Workers 1-106,text,TRUE,,3195,826,150,150,http://localhost/login,3354,0,1,,,,,,
1.65546E+12,3428,Login,200,OK,Workers 1-103,text,TRUE,,3195,831,150,150,http://localhost/login,3428,0,1,,,,,,
1.65546E+12,3576,Login,200,OK,Workers 1-99,text,TRUE,,3194,820,150,150,http://localhost/login,3576,0,1,,,,,,
1.65546E+12,3642,Login,200,OK,Workers 1-97,text,TRUE,,3194,830,150,150,http://localhost/login,3642,0,1,,,,,,
1.65546E+12,3712,addProductToCart,200,OK,Workers 1-42,text,TRUE,,3231,846,150,150,http://localhost/addToCart,3712,0,1,,,,,,
1.65546E+12,3754,Login,200,OK,Workers 1-95,text,TRUE,,3196,795,150,150,http://localhost/login,3754,0,0,,,,,,
1.65546E+12,3823,Login,200,OK,Workers 1-93,text,TRUE,,3194,820,150,150,http://localhost/login,3823,0,1,,,,,,
1.65546E+12,3870,Login,200,OK,Workers 1-92,text,TRUE,,3195,800,150,150,http://localhost/login,3870,0,1,,,,,,
1.65546E+12,3918,Login,200,OK,Workers 1-91,text,TRUE,,3195,805,150,150,http://localhost/login,3918,0,1,,,,,,
1.65546E+12,3969,Login,200,OK,Workers 1-90,text,TRUE,,3196,830,150,150,http://localhost/login,3969,0,0,,,,,,
1.65546E+12,4015,Login,200,OK,Workers 1-89,text,TRUE,,3196,795,150,150,http://localhost/login,4015,0,0,,,,,,
1.65546E+12,4083,Login,200,OK,Workers 1-87,text,TRUE,,3196,815,150,150,http://localhost/login,4083,0,1,,,,,,
1.65546E+12,4145,Login,200,OK,Workers 1-85,text,TRUE,,3195,825,150,150,http://localhost/login,4144,0,1,,,,,,
1.65546E+12,4186,Login,200,OK,Workers 1-84,text,TRUE,,3194,800,150,150,http://localhost/login,4186,0,0,,,,,,
1.65546E+12,4334,Login,200,OK,Workers 1-78,text,TRUE,,3195,805,150,150,http://localhost/login,4334,0,0,,,,,,
1.65546E+12,4376,Login,200,OK,Workers 1-77,text,TRUE,,3194,820,150,150,http://localhost/login,4376,0,0,,,,,,
1.65546E+12,4426,Login,200,OK,Workers 1-76,text,TRUE,,3195,800,150,150,http://localhost/login,4426,0,1,,,,,,
1.65546E+12,4695,Login,200,OK,Workers 1-44,text,TRUE,,3194,790,150,150,http://localhost/login,4694,0,1,,,,,,
1.65546E+12,4504,Login,200,OK,Workers 1-75,text,TRUE,,3195,790,150,150,http://localhost/login,4504,0,1,,,,,,
1.65546E+12,4547,Login,200,OK,Workers 1-74,text,TRUE,,3194,830,150,150,http://localhost/login,4547,0,1,,,,,,
1.65546E+12,4592,Login,200,OK,Workers 1-72,text,TRUE,,3196,790,150,150,http://localhost/login,4592,0,1,,,,,,
1.65546E+12,4849,Login,200,OK,Workers 1-43,text,TRUE,,3195,835,150,150,http://localhost/login,4849,0,0,,,,,,
1.65546E+12,4711,Login,200,OK,Workers 1-69,text,TRUE,,3195,795,150,150,http://localhost/login,4711,0,1,,,,,,
1.65546E+12,4755,Login,200,OK,Workers 1-68,text,TRUE,,3195,795,150,150,http://localhost/login,4755,0,1,,,,,,
1.65546E+12,4957,Login,200,OK,Workers 1-45,text,TRUE,,3195,800,150,150,http://localhost/login,4957,0,1,,,,,,
1.65546E+12,4835,Login,200,OK,Workers 1-67,text,TRUE,,3195,830,150,150,http://localhost/login,4835,0,1,,,,,,
1.65546E+12,4870,Login,200,OK,Workers 1-66,text,TRUE,,3196,790,150,150,http://localhost/login,4870,0,1,,,,,,
1.65546E+12,4907,Login,200,OK,Workers 1-65,text,TRUE,,3195,785,150,150,http://localhost/login,4907,0,0,,,,,,
1.65546E+12,4953,addProductToCart,200,OK,Workers 1-3,text,TRUE,,3231,795,150,150,http://localhost/addToCart,4953,0,0,,,,,,
1.65546E+12,5017,Login,200,OK,Workers 1-63,text,TRUE,,3195,800,150,150,http://localhost/login,5017,0,1,,,,,,
1.65546E+12,5124,Login,200,OK,Workers 1-58,text,TRUE,,3196,800,150,150,http://localhost/login,5124,0,0,,,,,,
1.65546E+12,5167,Login,200,OK,Workers 1-59,text,TRUE,,3194,835,150,150,http://localhost/login,5166,0,0,,,,,,
1.65546E+12,5276,Login,200,OK,Workers 1-48,text,TRUE,,3195,790,150,150,http://localhost/login,5276,0,0,,,,,,
1.65546E+12,5329,Login,200,OK,Workers 1-47,text,TRUE,,3195,800,150,150,http://localhost/login,5329,0,0,,,,,,
1.65546E+12,5309,Login,200,OK,Workers 1-57,text,TRUE,,3196,820,150,150,http://localhost/login,5309,0,1,,,,,,
1.65546E+12,5349,Login,200,OK,Workers 1-55,text,TRUE,,3195,835,150,150,http://localhost/login,5348,0,0,,,,,,
1.65546E+12,5438,Login,200,OK,Workers 1-49,text,TRUE,,3194,835,150,150,http://localhost/login,5438,0,1,,,,,,
1.65546E+12,5470,Login,200,OK,Workers 1-52,text,TRUE,,3194,790,150,150,http://localhost/login,5470,0,0,,,,,,
1.65546E+12,5503,Login,200,OK,Workers 1-51,text,TRUE,,3194,835,150,150,http://localhost/login,5503,0,0,,,,,,
1.65546E+12,5897,Login,200,OK,Workers 1-2,text,TRUE,,3195,804,150,150,http://localhost/login,5897,0,1,,,,,,
1.65546E+12,5584,Login,200,OK,Workers 1-46,text,TRUE,,3196,835,150,150,http://localhost/login,5584,0,0,,,,,,
1.65546E+12,106,addProductToCart,200,OK,Workers 1-51,text,TRUE,,3231,811,150,150,http://localhost/addToCart,105,0,0,,,,,,
1.65546E+12,5648,Login,200,OK,Workers 1-50,text,TRUE,,3195,810,150,150,http://localhost/login,5648,0,0,,,,,,
1.65546E+12,287,addProductToCart,200,OK,Workers 1-49,text,TRUE,,3232,836,150,150,http://localhost/addToCart,287,0,1,,,,,,
1.65546E+12,5713,Login,200,OK,Workers 1-53,text,TRUE,,3195,815,150,150,http://localhost/login,5713,0,0,,,,,,
